product_name,dollar_vol
6-pack - Tangerine Hops Lite - 8oz.,14561.6
CANN AR Trade Debit,-44061.38
CANN Cloudy Apple Rhubarb Lite 6pk 8oz,21289.8
CANN Golden Citrus Bark Lite 6pk 8oz,20153.16
CANN Supplier Promotional Credit,-265733.59
CANN Tangerine Hops Lite 6pk 8oz,10262.29
CS - promo - 8oz - 6pk,1.76
CS - staff - 8oz - 6pk,0.7
CS - wholesale - 8oz - 6pk,137118.68
"Cann 8oz Social Tonic (6 pack) 36mg - Tangerine Hops (36mg, case of 4)",24768.0
Cann Recall Credit - Social Tonic (6 Pack),-5688.0
Credit - 8oz - 6pk,-927.28
GLG - wholesale seasonal - 4pk - 8oz - 4pk,10220.0
GLG - wholesale seasonal - highboys - 6pk - 12oz - 6pk,8389.8
Returns Cann - Social Tonic (6 Pack),-12.0
SAM - 6-pack - Tangerine Hops Lite - 8oz.,0.24
